file,text,xmin,xmax,sentence,word_in_sentence
0,this,0.88,1.08,1,0
0,was,1.08,1.24,1,1
0,easy,1.24,1.5,1,2
0,for,1.5,1.69,1,3
0,us,1.69,2.12,1,4
0,jane,3.47,3.79,2,0
0,may,3.79,3.96,2,1
0,earn,3.96,4.15,2,2
0,more,4.15,4.36,2,3
0,money,4.36,4.63,2,4
0,by,4.63,4.81,2,5
0,working,4.81,5.23,2,6
0,hard,5.23,5.58,2,7
0,she,7.54,7.75,3,0
0,is,7.75,7.86,3,1
0,thinner,7.86,8.23,3,2
0,than,8.23,8.39,3,3
0,i,8.39,8.57,3,4
0,am,8.57,8.98,3,5
0,bright,10.53,10.79,4,0
0,sunshine,10.79,11.34,4,1
0,shimmers,11.34,11.71,4,2
0,on,11.71,11.86,4,3
0,the,11.86,11.99,4,4
0,ocean,11.99,12.55,4,5
0,nothing,14.38,14.73,5,0
0,is,14.73,15.01,5,1
0,as,15.01,15.08,5,2
0,offensive,15.08,15.62,5,3
0,as,15.62,15.75,5,4
0,innocence,15.75,16.54,5,5
1,why,0.0,0.98,6,0
1,yell,0.98,1.26,6,1
1,or,1.26,1.37,6,2
1,worry,1.37,1.75,6,3
1,over,1.75,1.98,6,4
1,silly,1.98,2.36,6,5
1,items,2.36,3.02,6,6
1,where,4.49,4.7,7,0
1,were,4.7,4.86,7,1
1,you,4.86,5.05,7,2
1,while,5.05,5.23,7,3
1,we,5.23,5.37,7,4
1,were,5.37,5.54,7,5
1,away,5.54,6.0,7,6
1,are,8.1,8.16,8,0
1,your,8.16,8.34,8,1
1,grades,8.34,8.75,8,2
1,higher,8.75,9.21,8,3
1,or,9.21,9.39,8,4
1,lower,9.39,9.72,8,5
1,than,9.72,9.94,8,6
1,nancy's,9.94,10.7,8,7
1,he,12.7,12.82,9,0
1,will,12.82,12.98,9,1
1,allow,12.98,13.37,9,2
1,a,13.37,13.45,9,3
1,rare,13.45,13.78,9,4
1,lie,13.78,14.23,9,5
1,will,15.55,15.72,10,0
1,robin,15.72,16.16,10,1
1,wear,16.16,16.34,10,2
1,a,16.34,16.44,10,3
1,yellow,16.44,16.77,10,4
1,lily,16.77,17.23,10,5
2,swing,0.77,1.09,11,0
