0,this,1.280000,1.500000,1
0,was,1.500000,1.660000,1
0,easy,1.660000,1.950000,1
0,for,1.950000,2.090000,1
0,us,2.090000,2.630000,1
0,jane,3.890000,4.190000,2
0,may,4.190000,4.340000,2
0,earn,4.340000,4.510000,2
0,more,4.510000,4.680000,2
0,money,4.680000,5.000000,2
0,by,5.000000,5.120000,2
0,working,5.120000,5.500000,2
0,hard,5.500000,5.920000,2
0,she,7.860000,8.050000,3
0,is,8.050000,8.260000,3
0,thinner,8.260000,8.520000,3
0,than,8.520000,8.650000,3
0,i,8.650000,8.830000,3
0,am,8.830000,9.300000,3
0,bright,10.920000,11.190000,4
0,sunshine,11.190000,11.730000,4
0,shimmers,11.760000,12.090000,4
0,on,12.090000,12.180000,4
0,the,12.180000,12.370000,4
0,ocean,12.370000,12.900000,4
0,nothing,14.810000,15.150000,5
0,as,15.150000,15.260000,5
0,offensive,15.260000,15.720000,5
0,as,15.720000,15.840000,5
0,innocence,15.840000,16.600000,5
1,why,1.304150,1.644150,6
1,yell,1.644150,1.824150,6
1,or,1.824150,2.024150,6
1,worry,2.024150,2.264150,6
1,over,2.264150,2.444150,6
1,silly,2.444150,2.794150,6
1,items,2.794150,3.454150,6
1,where,5.104150,5.344150,7
1,were,5.374150,5.534150,7
1,you,5.534150,5.624150,7
1,while,5.624150,5.794150,7
1,we,5.794150,5.924150,7
1,were,5.924150,6.084150,7
1,away,6.084150,6.634150,7
1,are,8.534150,8.644150,8
1,your,8.644150,8.844150,8
1,grades,8.844150,9.144150,8
1,higher,9.144150,9.664150,8
1,or,9.664150,9.754150,8
1,lower,9.754150,10.084150,8
1,than,10.084150,10.184150,8
1,nancy's,10.184150,10.914150,8
1,he,13.024150,13.144150,9
1,will,13.144150,13.264150,9
1,allow,13.264150,13.654150,9
1,a,13.654150,13.704150,9
1,rare,13.704150,13.994150,9
1,lie,13.994150,14.284150,9
1,will,14.284150,14.684150,10
1,robin,16.314150,16.574150,10
1,wear,16.574150,16.884150,10
1,a,16.884150,16.944150,10
1,yellow,16.944150,17.224150,10
1,lily,17.224150,17.714150,10
2,swing,1.150500,1.430500,11
2,your,1.430500,1.630500,11
2,arm,1.630500,1.870500,11
2,as,1.870500,1.970500,11
2,high,1.970500,2.240500,11
2,as,2.240500,2.360500,11
2,you,2.360500,2.420500,11
2,can,2.420500,3.050500,11
2,before,4.700500,5.090500,12
2,thursday's,5.090500,5.480500,12
2,exam,5.480500,5.990500,12
2,review,5.990500,6.340500,12
2,every,6.340500,6.700500,12
2,formula,6.700500,7.340500,12
2,the,9.120500,9.200500,13
2,museum,9.200500,9.730500,13
2,hires,9.780500,10.070500,13
2,musicians,10.070500,10.610500,13
2,every,10.610500,10.910500,13
2,evening,10.910500,11.460500,13
2,a,13.280500,13.380500,14
2,roll,13.380500,13.630500,14
2,of,13.630500,13.770500,14
2,wire,13.770500,14.170500,14
2,lay,14.170500,14.260500,14
2,near,14.260500,14.450500,14
2,the,14.450500,14.640500,14
2,wall,14.640500,15.240500,14
2,carl,17.080500,17.490500,15
2,lives,17.490500,17.760500,15
2,in,17.760500,17.850500,15
2,a,17.850500,17.970500,15
2,lively,17.970500,18.420500,15
2,home,18.420500,18.930500,15
3,alimony,1.657050,2.397050,16
3,harms,2.427050,2.627050,16
3,a,2.627050,2.677050,16
3,divorced,2.677050,3.057050,16
3,man's,3.057050,3.337050,16
3,wealth,3.337050,3.957050,16
3,she,5.407050,5.627050,17
